site_id,country,monitor,target_enrollment,enrolled,recruitment_pct,form_completeness_pct,open_queries,queries_per_subject,deviations
126,Spain,CRA-01,27,8,29.6,94.8,9,1.13,9
102,Germany,CRA-02,22,7,31.8,92.8,8,1.14,4
108,Ireland,CRA-03,22,9,40.9,92.6,14,1.56,6
131,United Kingdom,CRA-01,21,9,42.9,95.5,7,0.78,4
119,Poland,CRA-04,19,9,47.4,95.5,12,1.33,5
107,United Kingdom,CRA-02,22,12,54.5,96.9,8,0.67,2
103,Netherlands,CRA-03,23,13,56.5,97.1,11,0.85,2
128,Ireland,CRA-03,27,16,59.3,99.2,2,0.13,0
135,Netherlands,CRA-05,20,13,65.0,98.0,6,0.46,4
121,France,CRA-01,23,15,65.2,99.2,4,0.27,3
114,Poland,CRA-04,21,14,66.7,97.9,7,0.5,3
134,United Kingdom,CRA-04,18,14,77.8,98.8,6,0.43,2
138,Ireland,CRA-03,28,22,78.6,97.7,10,0.45,2
106,Netherlands,CRA-01,29,23,79.3,98.4,7,0.3,1
111,Spain,CRA-01,27,22,81.5,99.6,4,0.18,8
109,Poland,CRA-04,28,23,82.1,98.7,14,0.61,5
122,Germany,CRA-02,28,23,82.1,98.9,13,0.57,3
118,France,CRA-03,25,21,84.0,98.2,9,0.43,3
137,Italy,CRA-02,25,21,84.0,98.0,9,0.43,4
130,United Kingdom,CRA-05,23,20,87.0,98.2,16,0.8,2
115,Germany,CRA-05,24,21,87.5,99.3,6,0.29,2
125,Italy,CRA-05,25,22,88.0,97.9,14,0.64,2
110,Poland,CRA-05,18,16,88.9,98.4,6,0.38,1
123,Spain,CRA-03,28,25,89.3,98.9,13,0.52,6
117,France,CRA-02,19,17,89.5,97.8,14,0.82,1
124,Germany,CRA-04,20,18,90.0,97.4,13,0.72,1
132,Italy,CRA-02,24,22,91.7,98.7,9,0.41,3
120,Germany,CRA-05,27,25,92.6,97.8,16,0.64,3
136,Ireland,CRA-01,23,22,95.7,98.2,9,0.41,0
133,Germany,CRA-03,24,23,95.8,98.1,10,0.43,3
105,Ireland,CRA-05,26,25,96.2,97.2,11,0.44,6
113,Italy,CRA-03,26,25,96.2,98.7,10,0.4,1
127,Spain,CRA-02,27,26,96.3,97.9,15,0.58,4
129,Ireland,CRA-04,27,26,96.3,97.6,12,0.46,6
116,Poland,CRA-01,29,28,96.6,98.3,20,0.71,4
104,United Kingdom,CRA-04,24,25,104.2,97.1,14,0.56,1
112,Spain,CRA-02,23,24,104.3,98.1,15,0.63,2
101,France,CRA-01,27,29,107.4,97.7,17,0.59,5
